Event	ID	Name			Wwise Object Path	Notes
	448719855	Destruction_Crystal_Destroy			\Destruction\RegionSpecific\Destruction_Crystal_Destroy	
	1331382810	Ambient_Region_Cave			\Ambient\SoundBankSpecific\Ambient_Region_Cave	
	1934835592	Ambient_Waterfall			\Ambient\SoundBankSpecific\Ambient_Waterfall	

In Memory Audio	ID	Name	Audio source file		Wwise Object Path	Notes	Data Size
	1671080	BAS_WaterDrops_02	C:\Users\paumt\Documents\GitHub\Wwise-Sonorization-Project\Práctica4_MesaDominguezEdgar_MenaTorresPau\.cache\Windows\SFX\Ambient_Emitters\BAS_WaterDrops_02_818F3B66.wem		\Actor-Mixer Hierarchy\Default Work Unit\World\Ambient\Ambiences\Ambient_Emmiters\Ambient_Emitters\Emitters\Ambient_Water_Waterfall\Waterfall_Close\Waterdrops\BAS_WaterDrops_02		39008
	73235616	Amb_River	C:\Users\paumt\Documents\GitHub\Wwise-Sonorization-Project\Práctica4_MesaDominguezEdgar_MenaTorresPau\.cache\Windows\SFX\Ambient_Emitters\BAS_Water_River_818F3B66.wem		\Actor-Mixer Hierarchy\Default Work Unit\World\Ambient\Ambiences\Ambient_Emmiters\Ambient_Emitters\Emitters\Ambient_Water_Waterfall\Waterfall_Close\Amb_River		3072160
	111953491	Waterfall_High	C:\Users\paumt\Documents\GitHub\Wwise-Sonorization-Project\Práctica4_MesaDominguezEdgar_MenaTorresPau\.cache\Windows\SFX\Ambient_Emitters\BAS_Waterfall_818F3B66.wem		\Actor-Mixer Hierarchy\Default Work Unit\World\Ambient\Ambiences\Ambient_Emmiters\Ambient_Emitters\Emitters\Ambient_Water_Waterfall\Waterfall_Close\Waterfall_High		768096
	124196798	BAS_WaterDrops_04	C:\Users\paumt\Documents\GitHub\Wwise-Sonorization-Project\Práctica4_MesaDominguezEdgar_MenaTorresPau\.cache\Windows\SFX\Ambient_Emitters\BAS_WaterDrops_04_818F3B66.wem		\Actor-Mixer Hierarchy\Default Work Unit\World\Ambient\Ambiences\Ambient_Emmiters\Ambient_Emitters\Emitters\Ambient_Water_Waterfall\Waterfall_Close\Waterdrops\BAS_WaterDrops_04		57440
	426799839	BAS_WaterDrops_06	C:\Users\paumt\Documents\GitHub\Wwise-Sonorization-Project\Práctica4_MesaDominguezEdgar_MenaTorresPau\.cache\Windows\SFX\Ambient_Emitters\BAS_WaterDrops_06_818F3B66.wem		\Actor-Mixer Hierarchy\Default Work Unit\World\Ambient\Ambiences\Ambient_Emmiters\Ambient_Emitters\Emitters\Ambient_Water_Waterfall\Waterfall_Close\Waterdrops\BAS_WaterDrops_06		77856
	459435177	Destruction_Crystals	C:\Users\paumt\Documents\GitHub\Wwise-Sonorization-Project\Práctica4_MesaDominguezEdgar_MenaTorresPau\.cache\Windows\SFX\BAS_Crystals_Destroy_84881240.wem		\Actor-Mixer Hierarchy\Default Work Unit\Destruction\Destruction\Destruction_VolcanicBoulder\Destruction_Crystals		92876
	675506883	BAS_WaterDrops_05	C:\Users\paumt\Documents\GitHub\Wwise-Sonorization-Project\Práctica4_MesaDominguezEdgar_MenaTorresPau\.cache\Windows\SFX\Ambient_Emitters\BAS_WaterDrops_05_818F3B66.wem		\Actor-Mixer Hierarchy\Default Work Unit\World\Ambient\Ambiences\Ambient_Emmiters\Ambient_Emitters\Emitters\Ambient_Water_Waterfall\Waterfall_Close\Waterdrops\BAS_WaterDrops_05		43296
	903777576	amb_cave_background_LP	C:\Users\paumt\Documents\GitHub\Wwise-Sonorization-Project\Práctica4_MesaDominguezEdgar_MenaTorresPau\.cache\Windows\SFX\Ambient_Background\BAS_amb_cave_background_LP_818F3B66.wem		\Actor-Mixer Hierarchy\Default Work Unit\World\Ambient\Ambiences\Ambiences_Background\Ambient_Regions\Ambient_Region_Cave\amb_cave_background_LP		14786892
	927666996	BAS_WaterDrops_03	C:\Users\paumt\Documents\GitHub\Wwise-Sonorization-Project\Práctica4_MesaDominguezEdgar_MenaTorresPau\.cache\Windows\SFX\Ambient_Emitters\BAS_WaterDrops_03_818F3B66.wem		\Actor-Mixer Hierarchy\Default Work Unit\World\Ambient\Ambiences\Ambient_Emmiters\Ambient_Emitters\Emitters\Ambient_Water_Waterfall\Waterfall_Close\Waterdrops\BAS_WaterDrops_03		51296
	1037500831	BAS_WaterDrops_01	C:\Users\paumt\Documents\GitHub\Wwise-Sonorization-Project\Práctica4_MesaDominguezEdgar_MenaTorresPau\.cache\Windows\SFX\Ambient_Emitters\BAS_WaterDrops_01_818F3B66.wem		\Actor-Mixer Hierarchy\Default Work Unit\World\Ambient\Ambiences\Ambient_Emmiters\Ambient_Emitters\Emitters\Ambient_Water_Waterfall\Waterfall_Close\Waterdrops\BAS_WaterDrops_01		28768

