Event	ID	Name			Wwise Object Path	Notes
	120976108	Ambient_Torch			\Ambient\SoundBankSpecific\Ambient_Torch	
	1049266392	Ambient_Region_Woodlands			\Ambient\SoundBankSpecific\Ambient_Region_Woodlands	
	1934835592	Ambient_Waterfall			\Ambient\SoundBankSpecific\Ambient_Waterfall	

In Memory Audio	ID	Name	Audio source file		Wwise Object Path	Notes	Data Size
	1671080	BAS_WaterDrops_02	C:\Users\paumt\Documents\GitHub\Wwise-Sonorization-Project\Práctica4_MesaDominguezEdgar_MenaTorresPau\.cache\Windows\SFX\Ambient_Emitters\BAS_WaterDrops_02_818F3B66.wem		\Actor-Mixer Hierarchy\Default Work Unit\World\Ambient\Ambiences\Ambient_Emmiters\Ambient_Emitters\Emitters\Ambient_Water_Waterfall\Waterfall_Close\Waterdrops\BAS_WaterDrops_02		39008
	73235616	Amb_River	C:\Users\paumt\Documents\GitHub\Wwise-Sonorization-Project\Práctica4_MesaDominguezEdgar_MenaTorresPau\.cache\Windows\SFX\Ambient_Emitters\BAS_Water_River_818F3B66.wem		\Actor-Mixer Hierarchy\Default Work Unit\World\Ambient\Ambiences\Ambient_Emmiters\Ambient_Emitters\Emitters\Ambient_Water_Waterfall\Waterfall_Close\Amb_River		3072160
	111953491	Waterfall_High	C:\Users\paumt\Documents\GitHub\Wwise-Sonorization-Project\Práctica4_MesaDominguezEdgar_MenaTorresPau\.cache\Windows\SFX\Ambient_Emitters\BAS_Waterfall_818F3B66.wem		\Actor-Mixer Hierarchy\Default Work Unit\World\Ambient\Ambiences\Ambient_Emmiters\Ambient_Emitters\Emitters\Ambient_Water_Waterfall\Waterfall_Close\Waterfall_High		768096
	124196798	BAS_WaterDrops_04	C:\Users\paumt\Documents\GitHub\Wwise-Sonorization-Project\Práctica4_MesaDominguezEdgar_MenaTorresPau\.cache\Windows\SFX\Ambient_Emitters\BAS_WaterDrops_04_818F3B66.wem		\Actor-Mixer Hierarchy\Default Work Unit\World\Ambient\Ambiences\Ambient_Emmiters\Ambient_Emitters\Emitters\Ambient_Water_Waterfall\Waterfall_Close\Waterdrops\BAS_WaterDrops_04		57440
	195480164	Ambient_Fire_Torch	C:\Users\paumt\Documents\GitHub\Wwise-Sonorization-Project\Práctica4_MesaDominguezEdgar_MenaTorresPau\.cache\Windows\SFX\Ambient_Emitters\BAS_Torch_818F3B66.wem		\Actor-Mixer Hierarchy\Default Work Unit\World\Ambient\Ambiences\Ambient_Emmiters\Ambient_Emitters\Emitters\Ambient_Fire_Torch		448524
	426799839	BAS_WaterDrops_06	C:\Users\paumt\Documents\GitHub\Wwise-Sonorization-Project\Práctica4_MesaDominguezEdgar_MenaTorresPau\.cache\Windows\SFX\Ambient_Emitters\BAS_WaterDrops_06_818F3B66.wem		\Actor-Mixer Hierarchy\Default Work Unit\World\Ambient\Ambiences\Ambient_Emmiters\Ambient_Emitters\Emitters\Ambient_Water_Waterfall\Waterfall_Close\Waterdrops\BAS_WaterDrops_06		77856
	675506883	BAS_WaterDrops_05	C:\Users\paumt\Documents\GitHub\Wwise-Sonorization-Project\Práctica4_MesaDominguezEdgar_MenaTorresPau\.cache\Windows\SFX\Ambient_Emitters\BAS_WaterDrops_05_818F3B66.wem		\Actor-Mixer Hierarchy\Default Work Unit\World\Ambient\Ambiences\Ambient_Emmiters\Ambient_Emitters\Emitters\Ambient_Water_Waterfall\Waterfall_Close\Waterdrops\BAS_WaterDrops_05		43296
	765324966	amb_forest_night_background_loop_04	C:\Users\paumt\Documents\GitHub\Wwise-Sonorization-Project\Práctica4_MesaDominguezEdgar_MenaTorresPau\.cache\Windows\SFX\Ambient_Background\amb_forest_night_background_loop_04_818F3B66.wem		\Actor-Mixer Hierarchy\Default Work Unit\World\Ambient\Ambiences\Ambiences_Background\Ambient_Regions\Ambient_Region_Woodlands\Night\amb_forest_night_background_loop_04		3919928
	927666996	BAS_WaterDrops_03	C:\Users\paumt\Documents\GitHub\Wwise-Sonorization-Project\Práctica4_MesaDominguezEdgar_MenaTorresPau\.cache\Windows\SFX\Ambient_Emitters\BAS_WaterDrops_03_818F3B66.wem		\Actor-Mixer Hierarchy\Default Work Unit\World\Ambient\Ambiences\Ambient_Emmiters\Ambient_Emitters\Emitters\Ambient_Water_Waterfall\Waterfall_Close\Waterdrops\BAS_WaterDrops_03		51296
	959968189	amb_forest_night_background_loop_02	C:\Users\paumt\Documents\GitHub\Wwise-Sonorization-Project\Práctica4_MesaDominguezEdgar_MenaTorresPau\.cache\Windows\SFX\Ambient_Background\amb_forest_night_background_loop_02_818F3B66.wem		\Actor-Mixer Hierarchy\Default Work Unit\World\Ambient\Ambiences\Ambiences_Background\Ambient_Regions\Ambient_Region_Woodlands\Day\amb_forest_night_background_loop_02		4343896
	1037500831	BAS_WaterDrops_01	C:\Users\paumt\Documents\GitHub\Wwise-Sonorization-Project\Práctica4_MesaDominguezEdgar_MenaTorresPau\.cache\Windows\SFX\Ambient_Emitters\BAS_WaterDrops_01_818F3B66.wem		\Actor-Mixer Hierarchy\Default Work Unit\World\Ambient\Ambiences\Ambient_Emmiters\Ambient_Emitters\Emitters\Ambient_Water_Waterfall\Waterfall_Close\Waterdrops\BAS_WaterDrops_01		28768

